CID,IsomericSMILES,Descriptors,Alcohol,Animal Body,Aquatic,Balsamic,Chemicals,Earthy,Flower,Fruity,Gourmand,Green,Herbal,Savory,Smoky,Spices,Sulfur,Woody
262,CC(C(C)O)O,"['Savory', 'Fruity', 'Gourmand']",0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
263,CCCCO,"['Chemicals', 'Alcohol', 'Fruity', 'Balsamic', 'Sulfur']",1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
264,CCCC(=O)O,"['Savory', 'Animal Body', 'Fruity', 'Alcohol']",1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
280,C(=O)=O,['Alcohol'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,C(=O)O,"['Alcohol', 'Sulfur', 'Fruity']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
289,C1=CC=C(C(=C1)O)O,"['Chemicals', 'Smoky']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
307,C1=CC=C(C=C1)C=CC=O,"['Chemicals', 'Spices', 'Gourmand', 'Balsamic']",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
308,C1=CC=C(C=C1)C=CCO,"['Flower', 'Balsamic', 'Spices', 'Green', 'Sulfur']",0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0
309,C(C(=CC(=O)O)C(=O)O)C(=O)O,"['Savory', 'Earthy']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
323,C1=CC=C2C(=C1)C=CC(=O)O2,"['Green', 'Gourmand', 'Spices', 'Smoky']",0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
325,CC(C)C1=CC=C(C=C1)CO,"['Green', 'Woody', 'Spices']",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
326,CC(C)C1=CC=C(C=C1)C=O,"['Alcohol', 'Spices', 'Woody', 'Green', 'Animal Body']",1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
332,COC1=C(C=CC(=C1)C=C)O,"['Chemicals', 'Smoky', 'Balsamic', 'Spices', 'Woody']",0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1
335,CC1=CC=CC=C1O,"['Flower', 'Chemicals', 'Earthy', 'Green', 'Animal Body']",0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0
338,C1=CC=C(C(=C1)C(=O)O)O,"['Chemicals', 'Alcohol']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
342,CC1=CC(=CC=C1)O,"['Chemicals', 'Woody']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
356,CCCCCCCC,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
379,CCCCCCCC(=O)O,"['Alcohol', 'Fruity', 'Balsamic', 'Savory', 'Animal Body']",1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
402,S,['Sulfur'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
441,CC(CC(=O)O)O,"['Savory', 'Fruity']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
454,CCCCCCCC=O,"['Chemicals', 'Fruity', 'Balsamic', 'Savory', 'Gourmand', 'Green']",0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0
460,COC1=CC=CC=C1O,"['Chemicals', 'Smoky', 'Savory', 'Woody', 'Spices', 'Gourmand']",0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1
473,CSCCC(=O)C(=O)O,"['Savory', 'Sulfur']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
525,C(C(C(=O)O)O)C(=O)O,"['Alcohol', 'Gourmand']",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
527,CCC=O,"['Alcohol', 'Chemicals', 'Fruity', 'Earthy', 'Savory', 'Woody', 'Gourmand', 'Green']",1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1
563,CSCCC(=O)O,"['Fruity', 'Smoky', 'Savory', 'Gourmand', 'Green', 'Sulfur']",0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0
568,C1=CC=C2C(=C1)C3=CC=CC=C3O2,"['Chemicals', 'Flower']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
612,CC(C(=O)O)O,['Savory'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
650,CC(=O)C(=O)C,"['Alcohol', 'Savory', 'Gourmand']",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
660,C1CC(=O)OC2=CC=CC=C21,"['Fruity', 'Smoky', 'Balsamic', 'Savory', 'Spices', 'Gourmand', 'Green']",0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0
670,C(C(=O)CO)O,"['Fruity', 'Herbal']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
674,CNC,['Aquatic'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
679,CS(=O)C,"['Savory', 'Sulfur', 'Earthy']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
701,CCOC(=O)C(C)C(=O)C,"['Green', 'Fruity', 'Alcohol']",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
702,CCO,"['Chemicals', 'Alcohol']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
768,C#N,"['Woody', 'Gourmand']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
784,OO,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
785,C1=CC(=CC=C1O)O,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
798,C1=CC=C2C(=C1)C=CN2,"['Flower', 'Alcohol', 'Earthy', 'Smoky', 'Savory', 'Animal Body']",1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0
875,C(C(C(=O)O)O)(C(=O)O)O,['Gourmand'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
876,CSCCC(C(=O)O)N,"['Alcohol', 'Sulfur']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
878,CS,"['Alcohol', 'Chemicals', 'Savory', 'Gourmand', 'Sulfur']",1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
880,CC(=O)C=O,"['Alcohol', 'Chemicals', 'Gourmand']",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
887,CO,"['Alcohol', 'Sulfur', 'Chemicals']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
931,C1=CC=C2C=CC=CC2=C1,"['Chemicals', 'Alcohol', 'Woody']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
957,CCCCCCCCO,"['Flower', 'Chemicals', 'Fruity', 'Earthy', 'Smoky', 'Balsamic', 'Savory', 'Green']",0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0
964,C(C(=O)C(=O)O)O,"['Savory', 'Gourmand', 'Smoky']",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
980,C1=CC(=CC=C1[N+](=O)[O-])O,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
984,CCCCCCCCCCCCCCCC=O,"['Savory', 'Flower', 'Fruity', 'Balsamic']",0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
985,CCCCCCCCCCCCCCCC(=O)O,"['Savory', 'Gourmand', 'Green', 'Balsamic']",0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
989,CC1(COC(=O)C1O)C,"['Savory', 'Smoky', 'Gourmand']",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
994,C1=CC=C(C=C1)CC(C(=O)O)N,['Gourmand'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
996,C1=CC=C(C=C1)O,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
997,C1=CC=C(C=C1)CC(=O)C(=O)O,"['Alcohol', 'Chemicals', 'Smoky', 'Gourmand', 'Green']",1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
998,C1=CC=C(C=C1)CC=O,"['Flower', 'Fruity', 'Earthy', 'Gourmand', 'Green', 'Sulfur']",0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0
999,C1=CC=C(C=C1)CC(=O)O,"['Flower', 'Smoky', 'Balsamic', 'Savory', 'Gourmand', 'Animal Body']",0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0
1001,C1=CC=C(C=C1)CCN,['Aquatic'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,CCCO,"['Alcohol', 'Sulfur', 'Fruity', 'Earthy']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1032,CCC(=O)O,"['Savory', 'Alcohol']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1045,C(CCN)CN,"['Aquatic', 'Animal Body']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,C1=CC=NC=C1,"['Savory', 'Smoky', 'Aquatic']",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1060,CC(=O)C(=O)O,"['Savory', 'Gourmand', 'Alcohol', 'Smoky']",1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
1068,CSC,"['Chemicals', 'Alcohol', 'Fruity', 'Aquatic', 'Savory', 'Gourmand', 'Green', 'Sulfur']",1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0
1103,C(CCNCCCN)CNCCCN,"['Fruity', 'Flower']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1119,O=S=O,['Alcohol'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1127,C1CCSC1,"['Savory', 'Sulfur', 'Smoky']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1133,C(C(=O)O)S,"['Savory', 'Sulfur']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1136,CC1=C(SC=N1)CCO,"['Savory', 'Sulfur']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1140,CC1=CC=CC=C1,['Alcohol'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,C[N+](C)(C)[O-],['Aquatic'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,CN(C)C,"['Alcohol', 'Animal Body', 'Fruity', 'Aquatic']",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1182,CC(C)C(C(=O)O)N,['Aquatic'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1183,COC1=C(C=CC(=C1)C=O)O,"['Savory', 'Gourmand']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1213,CC1CCCC2(C1(CCCC2)O)C,"['Fruity', 'Earthy']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1254,CC1CCC(C(C1)O)C(C)C,"['Woody', 'Earthy', 'Herbal']",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1491,C1=CC(=C(C=C1O)O)C(=O)O,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1567,C(CS)O,"['Savory', 'Smoky']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2214,CC(=O)C1=CC(=C(C=C1)O)OC,"['Spices', 'Gourmand']",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,"['Green', 'Fruity', 'Flower', 'Balsamic']",0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
2346,C1=CC=C(C=C1)CN=C=S,"['Chemicals', 'Alcohol', 'Savory', 'Spices', 'Green']",1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
2537,CC1(C2CCC1(C(=O)C2)C)C,"['Alcohol', 'Chemicals', 'Woody', 'Herbal', 'Green']",1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
2682,CCCCCCCCCCCCCCCCO,"['Fruity', 'Flower', 'Balsamic']",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
2758,CC1(C2CCC(O1)(CC2)C)C,"['Chemicals', 'Woody', 'Herbal', 'Green']",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
2879,CC1=CC=C(C=C1)O,"['Flower', 'Chemicals', 'Smoky', 'Balsamic', 'Green', 'Animal Body']",0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0
2969,CCCCCCCCCC(=O)O,"['Alcohol', 'Fruity', 'Balsamic', 'Savory', 'Gourmand']",1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
3080,C(C(CS)S)O,['Sulfur'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3102,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,"['Chemicals', 'Flower', 'Green', 'Balsamic']",0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
3283,CCOCC,"['Alcohol', 'Chemicals']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3314,COC1=C(C=CC(=C1)CC=C)O,"['Flower', 'Alcohol', 'Chemicals', 'Smoky', 'Savory', 'Spices', 'Woody', 'Gourmand']",1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1
3327,CC(=CCCC(=CCCC(=CCO)C)C)C,"['Green', 'Flower']",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3338,CCCCC(C1=CC=CC=C1)O,"['Green', 'Flower', 'Woody', 'Fruity']",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
3485,C(CC=O)CC=O,"['Chemicals', 'Fruity', 'Alcohol', 'Green']",1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
3611,CC(C)C1=CC(=O)C(=CC=C1)O,"['Chemicals', 'Woody', 'Earthy']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
3776,CC(C)O,"['Alcohol', 'Earthy', 'Woody', 'Chemicals']",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
3893,CCCCCCCCCCCC(=O)O,"['Flower', 'Chemicals', 'Fruity', 'Balsamic', 'Savory']",0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
4093,CC(=C)C(=O)O,['Alcohol'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4133,COC(=O)C1=CC=CC=C1O,"['Chemicals', 'Fruity', 'Earthy', 'Woody', 'Herbal', 'Green']",0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1
4276,COC1=CC(=CC2=C1OCO2)CC=C,"['Spices', 'Woody', 'Balsamic']",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
4458,CC(=CCCC(=CCO)C)C,['Flower'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4650,C1=CC(=O)C=CC1=O,"['Savory', 'Chemicals']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4775,C1=CC=C(C=C1)CCCC(=O)O,"['Flower', 'Gourmand']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4837,C1CNCCN1,['Aquatic'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4943,CC(C)C1=C(C(=CC=C1)C(C)C)O,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4947,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5054,C1=CC(=CC(=C1)O)O,"['Chemicals', 'Fruity', 'Earthy', 'Savory', 'Gourmand']",0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0
5144,C=CCC1=CC2=C(C=C1)OCO2,"['Flower', 'Spices', 'Woody']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
5146,C1=CC=C(C(=C1)CO)O,['Fruity'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5192,C(CCCCC(=O)O)CCCC(=O)O,['Savory'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5541,CC(=O)OCC(COC(=O)C)OC(=O)C,"['Alcohol', 'Chemicals', 'Fruity', 'Savory', 'Gourmand']",1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
5610,C1=CC(=CC=C1CCN)O,"['Savory', 'Fruity', 'Chemicals', 'Aquatic']",0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
5634,C=CCCCCCCCCC(=O)O,"['Alcohol', 'Fruity', 'Balsamic', 'Savory', 'Woody']",1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
5862,C([C@@H](C(=O)O)N)S,['Sulfur'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5961,C(CC(=O)N)[C@@H](C(=O)O)N,"['Savory', 'Gourmand']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5971,C=CCN=C=S,"['Alcohol', 'Savory', 'Sulfur']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6027,C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,"['Smoky', 'Woody', 'Gourmand']",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
6054,C1=CC=C(C=C1)CCO,"['Flower', 'Earthy', 'Savory', 'Spices', 'Gourmand', 'Green', 'Sulfur']",0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0
6137,CSCC[C@@H](C(=O)O)N,['Savory'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6140,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,['Gourmand'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6184,CCCCCC=O,"['Chemicals', 'Fruity', 'Savory', 'Woody', 'Green', 'Animal Body']",0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
6213,CS(=O)(=O)C,"['Sulfur', 'Smoky']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6268,C(C(C(=O)O)S)C(=O)O,['Sulfur'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6276,CCCCCO,"['Alcohol', 'Chemicals', 'Balsamic', 'Savory', 'Sulfur']",1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
6288,C[C@H]([C@@H](C(=O)O)N)O,['Savory'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6329,CN,"['Savory', 'Fruity', 'Aquatic']",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
6341,CCN,"['Savory', 'Fruity', 'Aquatic']",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
6342,CC#N,['Gourmand'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6343,CCS,"['Savory', 'Sulfur', 'Fruity', 'Smoky']",0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
6348,C(=S)=S,"['Alcohol', 'Sulfur', 'Chemicals', 'Green']",1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
6354,C1CO1,"['Alcohol', 'Fruity', 'Chemicals']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6363,CC(C)N,"['Savory', 'Aquatic']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6364,CC(C)S,"['Savory', 'Sulfur', 'Fruity', 'Alcohol']",1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
6378,CC1CO1,"['Alcohol', 'Chemicals']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6386,CC(C)(C)O,"['Alcohol', 'Chemicals', 'Earthy', 'Woody', 'Herbal', 'Sulfur']",1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
6387,CC(C)(C)S,"['Fruity', 'Smoky', 'Savory', 'Gourmand', 'Sulfur']",0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0
6405,CCC(C)(C)O,"['Alcohol', 'Chemicals', 'Woody', 'Herbal', 'Sulfur']",1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
6416,CC(=O)C(C)(C)C,"['Alcohol', 'Woody', 'Chemicals', 'Herbal']",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
6417,CC(C)(C)C(=O)O,"['Savory', 'Alcohol']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6425,CC(C)(C(C)(C)O)O,"['Alcohol', 'Chemicals', 'Earthy', 'Savory', 'Woody', 'Herbal', 'Gourmand', 'Green']",1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1
6448,CC(=O)OC1CC2CCC1(C2(C)C)C,"['Balsamic', 'Woody', 'Spices', 'Herbal', 'Green']",0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
6482,C[C@@H]1CC[C@@H]2C13CCC(C(C3)C2(C)C)(C)OC(=O)C,"['Green', 'Woody', 'Earthy']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
6493,CCC(C)(CC)O,"['Fruity', 'Earthy', 'Woody', 'Green', 'Sulfur']",0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1
6495,CC(C)(OC)OC,"['Alcohol', 'Chemicals']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6501,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,"['Flower', 'Alcohol', 'Chemicals', 'Fruity', 'Savory', 'Gourmand']",1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
6506,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,"['Alcohol', 'Fruity']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6514,C(CS)C(=O)O,"['Savory', 'Smoky', 'Gourmand', 'Sulfur']",0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
6532,CC(C)C(=O)OC(C)(CCC=C(C)C)C=C,"['Fruity', 'Woody', 'Flower']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
6533,CC(=CCCC(C)(C=C)OC(=O)C=CC1=CC=CC=C1)C,"['Green', 'Flower', 'Balsamic']",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
6544,CC1=CC(=O)CC(C1)(C)C,"['Alcohol', 'Fruity', 'Earthy', 'Smoky', 'Woody', 'Herbal', 'Gourmand', 'Green']",1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1
6548,CCC(C)(CCCC(C)C)O,"['Green', 'Fruity', 'Woody', 'Flower']",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
6549,CC(=CCCC(C)(C=C)O)C,"['Flower', 'Chemicals', 'Fruity', 'Spices', 'Woody', 'Green']",0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1
6556,CCC(C)C,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6557,CC(=C)C=C,['Chemicals'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6558,CC(C)CN,"['Savory', 'Fruity', 'Alcohol', 'Aquatic']",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
6560,CC(C)CO,"['Alcohol', 'Chemicals', 'Earthy', 'Gourmand', 'Sulfur']",1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
6561,CC(C)C=O,"['Flower', 'Alcohol', 'Chemicals', 'Fruity', 'Savory', 'Gourmand', 'Green']",1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0
6562,CC(=C)C=O,"['Flower', 'Fruity', 'Balsamic', 'Green', 'Sulfur']",0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0
6568,CCC(C)O,"['Alcohol', 'Sulfur', 'Fruity', 'Chemicals']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
6569,CCC(=O)C,"['Chemicals', 'Alcohol', 'Fruity', 'Woody', 'Herbal']",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
6570,CC(=O)C=C,"['Alcohol', 'Chemicals']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6584,CC(=O)OC,"['Alcohol', 'Fruity', 'Woody', 'Chemicals']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
6590,CC(C)C(=O)O,"['Savory', 'Fruity', 'Alcohol']",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
6612,CC1=CCCC(C1C=CC(=O)CCC=C)(C)C,"['Green', 'Fruity', 'Woody', 'Flower']",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
